Features,Safe ,Unsafe,safe,unsafe,diff,,,,,,,
Lawn ,344,600,0.78,0.78,0.00,,,,,,,
Machine ,421,577,0.49,0.49,0.00,,,,,,,
Personal computer ,346,545,0.60,0.60,0.00,,,,,,,
Snapshot ,309,458,0.45,0.45,0.00,,,,,,,
Composite material ,593,543,0.12,0.12,0.00,,,,,,,
Material property ,1148,624,0.03,0.03,0.00,,,,,,,
Automotive exterior ,9538,6078,0.00,0.00,0.00,,,,,,,
Black ,816,635,0.05,0.05,0.00,,,,,,,
Horizon ,584,518,0.10,0.10,0.00,,,,,,,
Rolling stock ,152,430,0.97,0.97,0.00,,,,,,,
Concrete ,545,70,0.64,0.64,0.00,,,,,,,
Sidewalk ,829,430,0.04,0.04,0.00,,,,,,,
Home fencing ,540,166,0.23,0.23,0.00,,,,,,,
Leisure ,931,515,0.02,0.02,0.00,,,,,,,
Logo ,404,394,0.12,0.12,0.00,,,,,,,
Larch ,378,379,0.13,0.13,0.00,,,,,,,
Gas pump ,208,317,0.33,0.33,0.00,,,,,,,
Siding ,777,422,0.02,0.02,0.00,,,,,,,
Automotive sideview mirror ,309,319,0.12,0.12,0.00,,,,,,,
Traffic sign ,160,273,0.34,0.34,0.00,,,,,,,
Bicycle ,654,346,0.03,0.03,0.00,,,,,,,
Room ,613,318,0.03,0.03,0.00,,,,,,,
Tour bus service ,166,253,0.26,0.26,0.00,,,,,,,
Travel ,209,257,0.17,0.17,0.00,,,,,,,
Interior design ,391,132,0.13,0.13,0.00,,,,,,,
Design ,243,266,0.12,0.12,0.00,,,,,,,
Forest ,334,51,0.35,0.35,0.00,,,,,,,
Electric blue ,100,232,0.44,0.44,0.00,,,,,,,
Gasoline ,113,223,0.35,0.35,0.00,,,,,,,
Pedestrian ,363,132,0.10,0.10,0.00,,,,,,,
Handwriting ,154,215,0.19,0.19,0.00,,,,,,,
Signage ,2499,1599,0.00,0.00,0.00,,,,,,,
Arch ,244,229,0.06,0.06,0.00,,,,,,,
Parking ,331,268,0.03,0.03,0.00,,,,,,,
Daytime ,301,101,0.10,0.10,0.00,,,,,,,
Symmetry ,941,620,0.00,0.00,0.00,,,,,,,
Overhead power line ,108,187,0.24,0.24,0.00,,,,,,,
Mammal ,278,73,0.16,0.16,0.00,,,,,,,
Umbrella ,307,115,0.08,0.08,0.00,,,,,,,
Map ,316,132,0.05,0.05,0.00,,,,,,,
Parallel ,299,115,0.07,0.07,0.00,,,,,,,
Rolling ,269,227,0.03,0.03,0.00,,,,,,,
Sash window ,282,108,0.07,0.07,0.00,,,,,,,
Highland ,93,164,0.22,0.22,0.00,,,,,,,
Bumper ,149,169,0.09,0.09,0.00,,,,,,,
Geological phenomenon ,262,99,0.06,0.06,0.00,,,,,,,
Rural area ,281,130,0.03,0.03,0.00,,,,,,,
Track ,0,227,1.16,1.16,0.00,,,,,,,
Porch ,206,22,0.27,0.27,0.00,,,,,,,
Flowerpot ,94,141,0.14,0.14,0.00,,,,,,,
Sports equipment ,32,157,0.50,0.50,0.00,,,,,,,
Tent ,200,36,0.18,0.18,0.00,,,,,,,
Recreation ,430,248,0.00,0.00,0.00,,,,,,,
Tints and shades ,545,328,0.00,0.00,0.00,,,,,,,
Bicycle wheel ,443,303,0.00,0.00,0.00,,,,,,,
Railway ,0,182,0.93,0.93,0.00,,,,,,,
People in nature ,173,51,0.08,0.08,0.00,,,,,,,
Urban area ,167,44,0.09,0.09,0.00,,,,,,,
Rearview mirror ,137,128,0.03,0.03,0.00,,,,,,,
BicyclesEquipment and supplies ,223,109,0.02,0.02,0.00,,,,,,,
Lane ,123,115,0.03,0.03,0.00,,,,,,,
Zebra crossing ,150,56,0.04,0.04,0.00,,,,,,,
Agriculture ,10,115,0.48,0.48,0.00,,,,,,,
Art ,124,26,0.10,0.10,0.00,,,,,,,
Mountain ,132,0,0.27,0.27,0.00,,,,,,,
Tower block ,154,68,0.02,0.02,0.00,,,,,,,
shortstraw pine ,38,83,0.15,0.15,0.00,,,,,,,
Bicycle frame ,114,18,0.11,0.11,0.00,,,,,,,
Filling station ,73,83,0.04,0.04,0.00,,,,,,,
Atmosphere ,75,82,0.04,0.04,0.00,,,,,,,
Apartment ,81,84,0.03,0.03,0.00,,,,,,,
Vehicle door ,81,82,0.03,0.03,0.00,,,,,,,
Waste container ,106,11,0.14,0.14,0.00,,,,,,,
Commercial building ,143,110,0.01,0.01,0.00,,,,,,,
Automotive carrying rack ,197,110,0.00,0.00,0.00,,,,,,,
Camera ,98,16,0.10,0.10,0.00,,,,,,,
Orange ,132,102,0.01,0.01,0.00,,,,,,,
Triangle ,5,92,0.41,0.41,0.00,,,,,,,
Street ,159,84,0.01,0.01,0.00,,,,,,,
Musical instrument ,111,90,0.01,0.01,0.00,,,,,,,
Fruit ,15,68,0.21,0.21,0.00,,,,,,,
Tar ,63,67,0.03,0.03,0.00,,,,,,,
Landmark ,432,270,0.00,0.00,0.00,,,,,,,
Grass family ,125,61,0.01,0.01,0.00,,,,,,,
Metropolitan area ,107,46,0.02,0.02,0.00,,,,,,,
Floor ,92,1,0.18,0.18,0.00,,,,,,,
Natural foods ,10,68,0.25,0.25,0.00,,,,,,,
Air travel ,37,55,0.05,0.05,0.00,,,,,,,
Automotive side marker light ,139,100,0.00,0.00,0.00,,,,,,,
Chair ,155,109,0.00,0.00,0.00,,,,,,,
Human settlement ,71,65,0.01,0.01,0.00,,,,,,,
Scoreboard ,83,0,0.17,0.17,0.00,,,,,,,
Personal luxury car ,78,5,0.12,0.12,0.00,,,,,,,
Pedestrian crossing ,88,35,0.02,0.02,0.00,,,,,,,
Hubcap ,90,38,0.01,0.01,0.00,,,,,,,
Space ,31,49,0.05,0.05,0.00,,,,,,,
Naval architecture ,52,54,0.02,0.02,0.00,,,,,,,
Tower ,75,0,0.15,0.15,0.00,,,,,,,
Racing video game ,80,65,0.01,0.01,0.00,,,,,,,
Grille ,87,39,0.01,0.01,0.00,,,,,,,
Atmospheric phenomenon ,34,44,0.03,0.03,0.00,,,,,,,
Television antenna ,31,43,0.04,0.04,0.00,,,,,,,
Traffic light ,90,45,0.01,0.01,0.00,,,,,,,
Waste containment ,66,0,0.14,0.14,0.00,,,,,,,
Cabinetry ,60,12,0.05,0.05,0.00,,,,,,,
Fender ,210,138,0.00,0.00,0.00,,,,,,,
Light commercial vehicle ,58,6,0.08,0.08,0.00,,,,,,,
Compact van ,58,13,0.04,0.04,0.00,,,,,,,
Sport venue ,26,36,0.03,0.03,0.00,,,,,,,
signaling device ,28,36,0.03,0.03,0.00,,,,,,,
Sign ,22,35,0.04,0.04,0.00,,,,,,,
Table ,86,47,0.00,0.00,0.00,,,,,,,
Trunk ,82,59,0.00,0.00,0.00,,,,,,,
Number ,11,29,0.06,0.06,0.00,,,,,,,
Mixeduse ,90,53,0.00,0.00,0.00,,,,,,,
Event ,238,150,0.00,0.00,0.00,,,,,,,
Metal ,38,1,0.07,0.07,0.00,,,,,,,
Water ,46,36,0.00,0.00,0.00,,,,,,,
Retail ,55,29,0.00,0.00,0.00,,,,,,,
Soil ,31,28,0.01,0.01,0.00,,,,,,,
Aircraft ,35,0,0.07,0.07,0.00,,,,,,,
Bird ,34,0,0.07,0.07,0.00,,,,,,,
Bench ,0,34,0.17,0.17,0.00,,,,,,,
Awning ,69,40,0.00,0.00,0.00,,,,,,,
Canopy ,35,14,0.01,0.01,0.00,,,,,,,
Morning ,21,22,0.01,0.01,0.00,,,,,,,
Racing ,30,9,0.01,0.01,0.00,,,,,,,
Prairie ,31,0,0.06,0.06,0.00,,,,,,,
