long 16.994962 lat 46.455144 viewpoint 0 degrees.jpeg,Building 96,Plant 95,Window 94,Tree 86,Urban design 85,Biome 84,House 83,Grass 83,Residential area 82,Neighbourhood 81
long 16.994962 lat 46.455144 viewpoint 180 degrees.jpeg,Property 94,Building 92,Window 91,Urban design 85,Screenshot 82,Real estate 79,Plant 78,Facade 78,Font 73,Multimedia 70
long 16.994962 lat 46.455144 viewpoint 270 degrees.jpeg,Cloud 95,Photograph 94,Sky 94,Plant 93,Window 93,Infrastructure 89,Road surface 87,Asphalt 87,Lighting 87,Tree 87
long 16.994962 lat 46.455144 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Photograph 94,Plant 92,Road surface 89,Asphalt 89,Lighting 87,Tree 87,Street light 87,Urban design 85
long 16.9949653333333 lat 46.4550013333333 viewpoint 0 degrees.jpeg,Tire 94,Wheel 90,Car 90,Infrastructure 89,Asphalt 88,Vehicle 88,Sky 87,Road surface 86,Tree 86,Mode of transport 85
long 16.9949653333333 lat 46.4550013333333 viewpoint 180 degrees.jpeg,Plant 90,Road surface 90,Building 90,Infrastructure 89,Tree 89,Window 89,Asphalt 89,Sky 87,Mode of transport 85,Thoroughfare 85
long 16.9949653333333 lat 46.4550013333333 viewpoint 270 degrees.jpeg,Window 92,Building 91,Product 91,Screenshot 82,Urban design 81,Facade 79,House 79,Real estate 79,Font 74,Software 70
long 16.9949653333333 lat 46.4550013333333 viewpoint 90 degrees.jpeg,Car 98,Wheel 98,Tire 97,Land vehicle 97,Cloud 96,Sky 95,Vehicle 95,Motor vehicle 91,Automotive lighting 90,Asphalt 88
long 16.99496975 lat 46.4551175 viewpoint 0 degrees.jpeg,Building 96,Plant 95,Window 94,Tree 86,Urban design 85,Biome 84,House 83,Grass 83,Residential area 82,Neighbourhood 81
long 16.99496975 lat 46.4551175 viewpoint 180 degrees.jpeg,Property 94,Building 92,Window 91,Urban design 85,Screenshot 82,Real estate 79,Plant 78,Facade 78,Font 73,Multimedia 70
long 16.99496975 lat 46.4551175 viewpoint 270 degrees.jpeg,Cloud 95,Photograph 94,Sky 94,Plant 93,Window 93,Infrastructure 89,Road surface 87,Asphalt 87,Lighting 87,Tree 87
long 16.99496975 lat 46.4551175 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Photograph 94,Plant 92,Road surface 89,Infrastructure 89,Asphalt 89,Street light 87,Tree 87,Lighting 86
long 16.9949705 lat 46.4549996666667 viewpoint 0 degrees.jpeg,Tire 94,Wheel 90,Car 90,Infrastructure 89,Asphalt 88,Vehicle 88,Sky 87,Road surface 86,Tree 86,Mode of transport 85
long 16.9949705 lat 46.4549996666667 viewpoint 180 degrees.jpeg,Plant 90,Road surface 90,Building 90,Infrastructure 89,Tree 89,Window 89,Asphalt 89,Sky 87,Mode of transport 85,Thoroughfare 85
long 16.9949705 lat 46.4549996666667 viewpoint 270 degrees.jpeg,Window 92,Building 91,Product 91,Screenshot 82,Urban design 80,Facade 79,House 79,Real estate 79,Font 74,Software 70
long 16.9949705 lat 46.4549996666667 viewpoint 90 degrees.jpeg,Car 98,Wheel 98,Tire 97,Land vehicle 97,Cloud 96,Sky 95,Vehicle 95,Motor vehicle 91,Automotive lighting 89,Tree 88
long 16.9949761666667 lat 46.4550468333333 viewpoint 0 degrees.jpeg,Tire 94,Wheel 90,Car 90,Infrastructure 89,Asphalt 88,Vehicle 88,Sky 87,Road surface 86,Tree 86,Mode of transport 85
