long 16.992456375 lat 46.457401625 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 90,Window 90,Infrastructure 90,Road surface 89,Asphalt 88,Thoroughfare 85,Urban design 84,Mode of transport 84
long 16.992456375 lat 46.457401625 viewpoint 270 degrees.jpeg,Window 95,Property 94,Building 92,Architecture 86,Door 84,Wood 83,Wall 82,Facade 80,Gas 78,Font 76
long 16.992456375 lat 46.457401625 viewpoint 90 degrees.jpeg,Building 88,Window 87,Door 86,Screenshot 80,Facade 79,House 79,Wood 78,Font 78,Tints and shades 76,Home door 75
long 16.99246065 lat 46.45726395 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.99246065 lat 46.45726395 viewpoint 180 degrees.jpeg,Cloud 95,Sky 93,Window 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 85,Urban design 84,Thoroughfare 83
long 16.99246065 lat 46.45726395 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 93,Tire 93,Car 92,Automotive lighting 91,Building 89,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 83
long 16.99246065 lat 46.45726395 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.9924965833333 lat 46.4573494166667 viewpoint 0 degrees.jpeg,Cloud 93,Infrastructure 90,Asphalt 88,Sky 88,Building 88,Road surface 87,Window 86,Mode of transport 85,Line 83,Urban design 82
long 16.9924965833333 lat 46.4573494166667 viewpoint 180 degrees.jpeg,Car 95,Cloud 95,Sky 95,Tire 95,Wheel 91,Window 91,Building 90,Infrastructure 89,Automotive lighting 89,Vehicle 89
long 16.9924965833333 lat 46.4573494166667 viewpoint 270 degrees.jpeg,Property 94,Window 93,Building 91,Yellow 84,Font 83,Line 82,Rectangle 79,Facade 78,Urban design 78,Screenshot 76
long 16.9924965833333 lat 46.4573494166667 viewpoint 90 degrees.jpeg,Window 94,Property 94,Building 91,Product 91,Line 82,Font 81,Facade 79,House 79,Screenshot 77,Door 73
long 16.9925036 lat 46.4573614 viewpoint 0 degrees.jpeg,Cloud 93,Infrastructure 90,Asphalt 88,Sky 88,Building 88,Road surface 87,Window 86,Mode of transport 85,Line 83,Urban design 82
long 16.9925036 lat 46.4573614 viewpoint 180 degrees.jpeg,Car 95,Tire 95,Sky 95,Cloud 95,Wheel 91,Window 91,Building 90,Infrastructure 89,Automotive lighting 89,Asphalt 88
long 16.9925036 lat 46.4573614 viewpoint 270 degrees.jpeg,Property 94,Window 93,Building 91,Yellow 84,Font 83,Line 82,Rectangle 79,Facade 78,Urban design 78,Screenshot 76
long 16.9925036 lat 46.4573614 viewpoint 90 degrees.jpeg,Window 94,Property 94,Building 91,Product 91,Line 82,Font 81,Facade 79,House 79,Screenshot 77,Door 73
long 16.992506875 lat 46.4572449166667 viewpoint 0 degrees.jpeg,Cloud 96,Window 91,Infrastructure 90,Asphalt 89,Sky 87,Road surface 86,Mode of transport 86,Urban design 84,Building 83,Screenshot 83
long 16.992506875 lat 46.4572449166667 viewpoint 180 degrees.jpeg,Cloud 95,Window 93,Sky 93,Infrastructure 90,Road surface 89,Asphalt 88,Building 87,Automotive lighting 86,Urban design 84,Thoroughfare 83
long 16.992506875 lat 46.4572449166667 viewpoint 270 degrees.jpeg,Wheel 96,Vehicle 93,Tire 93,Car 92,Automotive lighting 91,Building 89,Motor vehicle 87,Window 87,Automotive design 84,Automotive exterior 83
long 16.992506875 lat 46.4572449166667 viewpoint 90 degrees.jpeg,Building 95,Window 95,Property 94,Font 84,Screenshot 80,Facade 79,Rectangle 76,Siding 74,Brick 72,Signage 71
long 16.9925100625 lat 46.4575234375 viewpoint 0 degrees.jpeg,Cloud 94,Sky 94,Window 89,Asphalt 86,Road surface 85,Screenshot 83,Urban design 83,Font 83,Line 82,Building 80
long 16.9925100625 lat 46.4575234375 viewpoint 180 degrees.jpeg,Cloud 94,Sky 92,Window 90,Infrastructure 89,Asphalt 88,Road surface 88,Building 87,Architecture 86,Mode of transport 86,Motor vehicle 85
long 16.9925100625 lat 46.4575234375 viewpoint 270 degrees.jpeg,Property 94,Product 91,Building 89,Window 88,Font 83,Line 83,Wall 81,Screenshot 80,Facade 79,Gas 77
