long 16.987321 lat 46.4550746666667 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 95,Photograph 94,Vehicle 94,Sky 94,Vehicle registration plate 93,Automotive carrying rack 92,Automotive lighting 90
long 16.9873221111111 lat 46.4551296666667 viewpoint 0 degrees.jpeg,Building 96,Property 94,Window 94,Mode of transport 85,Urban design 84,Tree 81,Font 81,Facade 79,City 76,Parking 75
long 16.9873221111111 lat 46.4551296666667 viewpoint 180 degrees.jpeg,Window 89,Building 88,Lighting 87,Asphalt 82,Screenshot 77,Font 76,Road 75,Facade 75,Display device 75,City 71
long 16.9873221111111 lat 46.4551296666667 viewpoint 270 degrees.jpeg,Car 97,Cloud 97,Sky 96,Building 95,Vehicle 94,Window 91,Infrastructure 90,Tire 89,Asphalt 88,Wheel 87
long 16.9873221111111 lat 46.4551296666667 viewpoint 90 degrees.jpeg,Cloud 97,Tire 96,Wheel 96,Car 95,Photograph 94,Vehicle 94,Sky 94,Vehicle registration plate 93,Automotive carrying rack 92,Automotive lighting 90
long 16.987344 lat 46.455242 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
long 16.987344 lat 46.455242 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 95,Building 95,Photograph 94,Vehicle 94,Tire 94,Wheel 91,Cloud 90,Infrastructure 89,Vehicle registration plate 88
long 16.987344 lat 46.455242 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Sky 90,Infrastructure 90,Window 90,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.987344 lat 46.455242 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Sky 93,Infrastructure 90,Vehicle 90,Asphalt 89,Window 88,Road surface 86,Motor vehicle 86,Mode of transport 85
long 16.98734675 lat 46.4552255 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
long 16.98734675 lat 46.4552255 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 95,Building 95,Photograph 94,Vehicle 94,Tire 94,Wheel 91,Cloud 90,Infrastructure 89,Vehicle registration plate 88
long 16.98734675 lat 46.4552255 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Sky 90,Infrastructure 90,Window 90,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.98734675 lat 46.4552255 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Sky 93,Infrastructure 90,Vehicle 90,Asphalt 89,Window 88,Road surface 86,Motor vehicle 86,Mode of transport 85
long 16.9873629 lat 46.4551993 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
long 16.9873629 lat 46.4551993 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 95,Building 95,Photograph 94,Vehicle 94,Tire 94,Wheel 91,Cloud 90,Infrastructure 89,Vehicle registration plate 88
long 16.9873629 lat 46.4551993 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Sky 90,Infrastructure 90,Window 90,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.9873629 lat 46.4551993 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Sky 93,Infrastructure 90,Vehicle 90,Asphalt 89,Window 88,Road surface 86,Motor vehicle 86,Mode of transport 85
long 16.9873665 lat 46.4551620833333 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
long 16.9873665 lat 46.4551620833333 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Photograph 94,Vehicle 94,Tire 94,Wheel 91,Cloud 91,Vehicle registration plate 89,Asphalt 85
long 16.9873665 lat 46.4551620833333 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Sky 90,Infrastructure 90,Window 90,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.9873665 lat 46.4551620833333 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Sky 93,Infrastructure 90,Vehicle 90,Asphalt 89,Window 88,Road surface 86,Motor vehicle 86,Mode of transport 85
long 16.98737 lat 46.455128 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
long 16.98737 lat 46.455128 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 95,Building 95,Photograph 94,Vehicle 94,Tire 94,Wheel 91,Cloud 90,Infrastructure 89,Vehicle registration plate 88
long 16.98737 lat 46.455128 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Sky 90,Infrastructure 90,Window 90,Lighting 87,Road surface 86,Asphalt 86,Architecture 86,Urban design 85
long 16.98737 lat 46.455128 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Sky 93,Infrastructure 90,Vehicle 89,Asphalt 88,Window 88,Motor vehicle 87,Road surface 86,Mode of transport 85
long 16.98738725 lat 46.45506125 viewpoint 0 degrees.jpeg,Building 91,Plant 88,Urban design 85,Tree 85,Neighbourhood 82,Sidewalk 79,City 78,Metropolitan area 78,Facade 77,Road 76
