long 16.992164 lat 46.448739 viewpoint 0 degrees.jpeg,Sky 96,Cloud 94,Photograph 94,Street light 91,Infrastructure 90,Road surface 89,Asphalt 87,Window 87,Tree 86,Urban design 84
long 16.9942100823529 lat 46.4486298588235 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 88,Natural landscape 87,Screenshot 84,Woody plant 82,Font 82,Landscape 80,Software 79
long 16.9942100823529 lat 46.4486298588235 viewpoint 180 degrees.jpeg,World 91,Tree 89,Lighting 86,Asphalt 86,Sky 85,Plant 85,Yellow 84,Biome 84,Road surface 84,Urban design 83
long 16.9942100823529 lat 46.4486298588235 viewpoint 270 degrees.jpeg,Plant 94,Sky 94,Building 92,Tree 88,House 87,Asphalt 87,Lighting 86,Screenshot 83,Road surface 80,Car 80
long 16.9942100823529 lat 46.4486298588235 viewpoint 90 degrees.jpeg,Nature 90,Tree 90,Asphalt 88,Road surface 85,Mode of transport 84,Biome 84,Font 83,Natural landscape 83,Screenshot 82,Thoroughfare 82
long 16.9942114537037 lat 46.4496073703704 viewpoint 0 degrees.jpeg,Cloud 96,Sky 93,Nature 90,Infrastructure 89,Plant 89,Building 88,Window 88,Road surface 88,Asphalt 88,Tree 87
long 16.9942114537037 lat 46.4496073703704 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 90,Natural environment 89,Tree 89,Vegetation 85,Terrestrial plant 84,Biome 84,Screenshot 83,Font 83
long 16.9942114537037 lat 46.4496073703704 viewpoint 270 degrees.jpeg,Sky 94,Window 94,Building 93,Light 91,Cloud 89,Tree 88,Lighting 88,Asphalt 84,Plant 83,Line 82
long 16.9942114537037 lat 46.4496073703704 viewpoint 90 degrees.jpeg,Cloud 98,Sky 95,Plant 92,Tree 89,Asphalt 87,Biome 84,Screenshot 83,Font 82,Road 80,Road surface 78
long 16.9942268375 lat 46.4486546 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.9942268375 lat 46.4486546 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.9942268375 lat 46.4486546 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.9942268375 lat 46.4486546 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.9942396444444 lat 46.4487645555556 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.9942396444444 lat 46.4487645555556 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.9942396444444 lat 46.4487645555556 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.9942396444444 lat 46.4487645555556 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.9942430987654 lat 46.4485983209876 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 88,Natural landscape 87,Screenshot 84,Woody plant 82,Font 82,Landscape 80,Software 79
long 16.9942430987654 lat 46.4485983209876 viewpoint 180 degrees.jpeg,World 91,Tree 89,Lighting 86,Asphalt 86,Sky 85,Plant 85,Yellow 84,Biome 84,Road surface 84,Urban design 83
long 16.9942430987654 lat 46.4485983209876 viewpoint 270 degrees.jpeg,Plant 94,Sky 94,Building 92,Tree 88,House 87,Asphalt 87,Lighting 86,Screenshot 83,Road surface 80,Car 80
long 16.9942430987654 lat 46.4485983209876 viewpoint 90 degrees.jpeg,Nature 90,Tree 90,Asphalt 88,Road surface 85,Mode of transport 84,Biome 84,Font 83,Natural landscape 83,Screenshot 82,Thoroughfare 82
long 16.99424404 lat 46.4487624 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.99424404 lat 46.4487624 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.99424404 lat 46.4487624 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.99424404 lat 46.4487624 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.9942459090909 lat 46.4496167272727 viewpoint 0 degrees.jpeg,Cloud 96,Sky 94,Plant 92,Building 91,Light 91,Nature 90,Window 89,Asphalt 88,Road surface 87,Tree 87
long 16.9942459090909 lat 46.4496167272727 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 90,Natural environment 89,Tree 89,Vegetation 85,Terrestrial plant 84,Biome 84,Screenshot 83,Font 83
long 16.9942459090909 lat 46.4496167272727 viewpoint 270 degrees.jpeg,Sky 94,Window 94,Building 93,Light 91,Cloud 89,Tree 88,Lighting 88,Asphalt 84,Plant 83,Line 82
long 16.9942459090909 lat 46.4496167272727 viewpoint 90 degrees.jpeg,Cloud 98,Sky 94,Plant 92,Natural environment 89,Tree 89,Asphalt 87,Biome 84,Screenshot 83,Font 81,Road 81
long 16.9942510125 lat 46.4487683 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 88,Natural landscape 87,Screenshot 84,Woody plant 82,Font 82,Landscape 80,Software 79
long 16.9942510125 lat 46.4487683 viewpoint 180 degrees.jpeg,World 91,Tree 89,Lighting 86,Asphalt 86,Sky 85,Plant 85,Yellow 84,Biome 84,Road surface 84,Urban design 83
long 16.9942510125 lat 46.4487683 viewpoint 270 degrees.jpeg,Plant 94,Sky 94,Building 92,Tree 88,House 87,Asphalt 87,Lighting 86,Screenshot 83,Road surface 80,Car 80
long 16.9942510125 lat 46.4487683 viewpoint 90 degrees.jpeg,Nature 90,Tree 90,Asphalt 88,Road surface 85,Mode of transport 84,Biome 84,Font 83,Natural landscape 83,Screenshot 82,Thoroughfare 82
long 16.9942557222222 lat 46.4486407222222 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 88,Natural landscape 87,Screenshot 84,Woody plant 82,Font 82,Landscape 80,Software 79
long 16.9942557222222 lat 46.4486407222222 viewpoint 180 degrees.jpeg,World 91,Tree 89,Lighting 86,Asphalt 86,Sky 85,Plant 85,Yellow 84,Biome 84,Road surface 84,Urban design 83
long 16.9942557222222 lat 46.4486407222222 viewpoint 270 degrees.jpeg,Plant 93,Sky 93,Building 90,Tree 88,House 87,Asphalt 87,Tire 83,Screenshot 83,Road surface 82,Wheel 80
long 16.9942557222222 lat 46.4486407222222 viewpoint 90 degrees.jpeg,Nature 90,Tree 90,Asphalt 88,Road surface 85,Mode of transport 84,Biome 84,Font 83,Natural landscape 83,Screenshot 82,Thoroughfare 82
long 16.9942571384615 lat 46.4485723846154 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.9942571384615 lat 46.4485723846154 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.9942571384615 lat 46.4485723846154 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.9942571384615 lat 46.4485723846154 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.9942606666667 lat 46.4488159166667 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.9942606666667 lat 46.4488159166667 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.9942606666667 lat 46.4488159166667 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.9942606666667 lat 46.4488159166667 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.9942650857143 lat 46.4486644285714 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.9942650857143 lat 46.4486644285714 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.9942650857143 lat 46.4486644285714 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.9942650857143 lat 46.4486644285714 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.994267675 lat 46.448526 viewpoint 0 degrees.jpeg,Plant 96,Sky 91,Tree 90,Asphalt 87,Natural landscape 85,Screenshot 84,Woody plant 82,Font 81,Landscape 80,Software 79
long 16.994267675 lat 46.448526 viewpoint 180 degrees.jpeg,Tree 89,Sky 88,Lighting 87,Asphalt 87,Yellow 84,Road surface 84,Biome 84,Urban design 83,Screenshot 81,Woody plant 81
long 16.994267675 lat 46.448526 viewpoint 270 degrees.jpeg,Plant 94,Sky 93,Building 92,Tree 89,Tire 87,House 87,Asphalt 87,Screenshot 83,Road surface 81,Wheel 80
long 16.994267675 lat 46.448526 viewpoint 90 degrees.jpeg,Tree 90,Asphalt 87,Road surface 86,Biome 84,Natural landscape 83,Font 82,Woody plant 81,Screenshot 81,Thoroughfare 81,Road 79
long 16.99427 lat 46.44960025 viewpoint 0 degrees.jpeg,Cloud 96,Sky 93,Nature 90,Infrastructure 89,Plant 89,Building 88,Window 88,Road surface 88,Asphalt 88,Tree 87
long 16.99427 lat 46.44960025 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 90,Natural environment 89,Tree 89,Vegetation 85,Terrestrial plant 84,Biome 84,Screenshot 83,Font 83
long 16.99427 lat 46.44960025 viewpoint 270 degrees.jpeg,Sky 94,Window 94,Building 93,Light 91,Cloud 89,Tree 88,Lighting 88,Asphalt 84,Plant 83,Line 82
long 16.99427 lat 46.44960025 viewpoint 90 degrees.jpeg,Cloud 98,Sky 95,Plant 92,Tree 89,Asphalt 87,Biome 84,Screenshot 83,Font 82,Road 80,Road surface 78
long 16.9942743 lat 46.4485445 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9942743 lat 46.4485445 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9942743 lat 46.4485445 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9942743 lat 46.4485445 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9942748214286 lat 46.4485107857143 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9942748214286 lat 46.4485107857143 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9942748214286 lat 46.4485107857143 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9942748214286 lat 46.4485107857143 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9942766538462 lat 46.4485068846154 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 93,Natural landscape 90,Nature 90,Tree 90,Font 85,Biome 82,Screenshot 82,Woody plant 82,Software 81
long 16.9942766538462 lat 46.4485068846154 viewpoint 180 degrees.jpeg,Building 94,Plant 91,Window 89,Tree 88,Fence 87,House 86,Land lot 85,Biome 83,Residential area 81,Urban design 81
long 16.9942766538462 lat 46.4485068846154 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Plant 87,Graphics software 86,Road surface 85,Biome 83,Building 82,Screenshot 82,House 81
long 16.9942766538462 lat 46.4485068846154 viewpoint 90 degrees.jpeg,Infrastructure 90,Road surface 89,Asphalt 89,Tree 89,Thoroughfare 86,Biome 84,Urban design 83,Plant 83,Natural landscape 83,Line 82
long 16.9942830673077 lat 46.4484932307692 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9942830673077 lat 46.4484932307692 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9942830673077 lat 46.4484932307692 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9942830673077 lat 46.4484932307692 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.99428435 lat 46.4484905 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.99428435 lat 46.4484905 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9942903846154 lat 46.4495863076923 viewpoint 0 degrees.jpeg,Cloud 96,Property 94,Sky 94,Nature 90,Window 90,Plant 89,Infrastructure 89,Asphalt 88,Building 88,Road surface 87
long 16.9942903846154 lat 46.4495863076923 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 93,Natural environment 90,Natural landscape 90,Tree 88,Vegetation 86,Terrestrial plant 85,Biome 84,Screenshot 83,Font 82
long 16.9942903846154 lat 46.4495863076923 viewpoint 270 degrees.jpeg,Sky 95,Window 94,Building 92,Cloud 88,Lighting 88,Tree 87,Asphalt 84,Plant 83,Line 82,House 82
long 16.9942903846154 lat 46.4495863076923 viewpoint 90 degrees.jpeg,Cloud 98,Sky 95,Plant 92,Tree 89,Asphalt 86,Biome 84,Mode of transport 84,Screenshot 83,Font 81,Road 80
long 16.9942926875 lat 46.44847275 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9942926875 lat 46.44847275 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9942926875 lat 46.44847275 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9942926875 lat 46.44847275 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9942934454545 lat 46.4484711363636 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9942934454545 lat 46.4484711363636 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9942934454545 lat 46.4484711363636 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9942934454545 lat 46.4484711363636 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9943040568182 lat 46.4484485454545 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9943040568182 lat 46.4484485454545 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9943040568182 lat 46.4484485454545 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9943040568182 lat 46.4484485454545 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.99430436 lat 46.4484479 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.99430436 lat 46.4484479 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.99430436 lat 46.4484479 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.99430436 lat 46.4484479 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9943075833333 lat 46.4486563333333 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9943075833333 lat 46.4486563333333 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9943075833333 lat 46.4486563333333 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9943075833333 lat 46.4486563333333 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.9943177 lat 46.4484195 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 85,Screenshot 83,Biome 83,Woody plant 82,Software 82
long 16.9943177 lat 46.4484195 viewpoint 180 degrees.jpeg,Building 95,Plant 90,Window 89,Tree 88,House 86,Fence 85,Land lot 85,Urban design 82,Biome 82,Woody plant 81
long 16.9943177 lat 46.4484195 viewpoint 270 degrees.jpeg,Sky 95,Tree 90,Asphalt 88,Plant 86,Graphics software 85,House 84,Road surface 84,Building 83,Biome 83,Screenshot 82
long 16.9943177 lat 46.4484195 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 88,Asphalt 88,Thoroughfare 85,Natural landscape 85,Urban design 83,Biome 83,Font 83
long 16.9943270714286 lat 46.449605 viewpoint 0 degrees.jpeg,Cloud 96,Sky 93,Nature 90,Infrastructure 89,Plant 89,Building 88,Window 88,Road surface 88,Asphalt 88,Tree 87
long 16.9943270714286 lat 46.449605 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 90,Natural environment 89,Tree 89,Vegetation 85,Terrestrial plant 84,Biome 84,Screenshot 83,Font 83
long 16.9943270714286 lat 46.449605 viewpoint 270 degrees.jpeg,Sky 94,Window 94,Building 93,Light 91,Cloud 89,Tree 88,Lighting 88,Asphalt 84,Plant 83,Line 82
long 16.9943270714286 lat 46.449605 viewpoint 90 degrees.jpeg,Cloud 98,Sky 95,Plant 92,Tree 89,Asphalt 87,Biome 84,Screenshot 83,Font 82,Road 80,Road surface 78
long 16.9943289220779 lat 46.4496236363636 viewpoint 0 degrees.jpeg,Cloud 96,Sky 93,Nature 90,Infrastructure 89,Plant 89,Building 88,Window 88,Road surface 88,Asphalt 88,Tree 87
long 16.9943289220779 lat 46.4496236363636 viewpoint 180 degrees.jpeg,Plant 95,Ecoregion 92,Natural landscape 90,Natural environment 89,Tree 89,Vegetation 85,Terrestrial plant 84,Biome 84,Screenshot 83,Font 83
long 16.9943289220779 lat 46.4496236363636 viewpoint 270 degrees.jpeg,Sky 94,Window 94,Building 93,Light 91,Cloud 89,Tree 88,Lighting 88,Asphalt 84,Plant 83,Line 82
long 16.9943289220779 lat 46.4496236363636 viewpoint 90 degrees.jpeg,Cloud 98,Sky 95,Plant 92,Tree 89,Asphalt 87,Biome 84,Screenshot 83,Font 82,Road 80,Road surface 78
long 16.9943315 lat 46.4487821666667 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9943315 lat 46.4487821666667 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9943315 lat 46.4487821666667 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
long 16.9943315 lat 46.4487821666667 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 89,Asphalt 89,Thoroughfare 86,Plant 85,Mode of transport 84,Natural landscape 84,Urban design 83
long 16.99433316 lat 46.44843044 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 85,Screenshot 83,Biome 83,Woody plant 82,Software 82
long 16.99433316 lat 46.44843044 viewpoint 180 degrees.jpeg,Building 95,Plant 90,Window 89,Tree 88,House 86,Fence 85,Land lot 85,Urban design 82,Biome 82,Woody plant 81
long 16.99433316 lat 46.44843044 viewpoint 270 degrees.jpeg,Sky 95,Tree 90,Asphalt 88,Plant 86,Graphics software 85,House 84,Road surface 84,Building 83,Biome 83,Screenshot 82
long 16.99433316 lat 46.44843044 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 88,Asphalt 88,Thoroughfare 85,Natural landscape 85,Urban design 83,Biome 83,Font 83
long 16.9943426444444 lat 46.4484599111111 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 85,Screenshot 83,Biome 83,Woody plant 82,Software 82
long 16.9943426444444 lat 46.4484599111111 viewpoint 180 degrees.jpeg,Building 95,Plant 90,Window 89,Tree 88,House 86,Fence 85,Land lot 85,Urban design 82,Biome 82,Woody plant 81
long 16.9943426444444 lat 46.4484599111111 viewpoint 270 degrees.jpeg,Sky 95,Tree 90,Asphalt 88,Plant 86,Graphics software 85,House 84,Road surface 84,Building 83,Biome 83,Screenshot 82
long 16.9943426444444 lat 46.4484599111111 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 88,Asphalt 88,Thoroughfare 85,Natural landscape 85,Urban design 83,Biome 83,Font 83
long 16.99434862 lat 46.44844138 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 85,Screenshot 83,Biome 83,Woody plant 82,Software 82
long 16.99434862 lat 46.44844138 viewpoint 180 degrees.jpeg,Building 95,Plant 90,Window 89,Tree 88,House 86,Fence 85,Land lot 85,Urban design 82,Biome 82,Woody plant 81
long 16.99434862 lat 46.44844138 viewpoint 270 degrees.jpeg,Sky 95,Tree 90,Asphalt 88,Plant 86,Graphics software 85,House 84,Road surface 84,Building 83,Biome 83,Screenshot 82
long 16.99434862 lat 46.44844138 viewpoint 90 degrees.jpeg,Nature 90,Infrastructure 90,Road surface 89,Tree 88,Asphalt 88,Thoroughfare 85,Natural landscape 85,Urban design 83,Biome 83,Font 83
long 16.9943584307692 lat 46.4485150769231 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 93,Natural landscape 90,Nature 90,Tree 90,Font 85,Biome 82,Screenshot 82,Woody plant 82,Software 81
long 16.9943584307692 lat 46.4485150769231 viewpoint 180 degrees.jpeg,Building 94,Plant 91,Window 89,Tree 88,Fence 87,House 86,Land lot 85,Biome 83,Residential area 81,Urban design 81
long 16.9943584307692 lat 46.4485150769231 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Plant 87,Graphics software 86,Road surface 85,Biome 83,Building 82,Screenshot 82,House 81
long 16.9943584307692 lat 46.4485150769231 viewpoint 90 degrees.jpeg,Infrastructure 90,Road surface 89,Asphalt 89,Tree 89,Thoroughfare 86,Biome 84,Urban design 83,Plant 83,Natural landscape 83,Line 82
long 16.9943594444444 lat 46.4486719444444 viewpoint 0 degrees.jpeg,Plant 96,Ecoregion 92,Tree 90,Nature 90,Natural landscape 90,Font 84,Biome 83,Screenshot 83,Woody plant 82,Asphalt 81
long 16.9943594444444 lat 46.4486719444444 viewpoint 180 degrees.jpeg,Building 94,Plant 89,Window 89,Tree 88,Fence 86,Land lot 85,House 85,Biome 83,Urban design 80,Residential area 79
long 16.9943594444444 lat 46.4486719444444 viewpoint 270 degrees.jpeg,Sky 93,Tree 90,Asphalt 88,Graphics software 86,Plant 85,Road surface 84,Screenshot 83,Biome 82,Building 80,Moon 79
