long 16.9908456428571 lat 46.4637153730159 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908493058824 lat 46.4637210627451 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908493058824 lat 46.4637210627451 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908493058824 lat 46.4637210627451 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908493058824 lat 46.4637210627451 viewpoint 90 degrees.jpeg,Cloud 93,Sky 91,Infrastructure 90,Road surface 90,Asphalt 89,Lighting 86,Tree 86,Land lot 84,Screenshot 83,Urban design 83
long 16.9908549375 lat 46.4636899375 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908549375 lat 46.4636899375 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908549375 lat 46.4636899375 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908549375 lat 46.4636899375 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908555073529 lat 46.4637132867647 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908555073529 lat 46.4637132867647 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908555073529 lat 46.4637132867647 viewpoint 270 degrees.jpeg,Cloud 96,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Lighting 87,Building 86
long 16.9908555073529 lat 46.4637132867647 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908587678571 lat 46.4637110535714 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908587678571 lat 46.4637110535714 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908587678571 lat 46.4637110535714 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
long 16.9908587678571 lat 46.4637110535714 viewpoint 90 degrees.jpeg,Cloud 93,Sky 91,Infrastructure 90,Road surface 90,Asphalt 89,Lighting 86,Tree 86,Land lot 84,Screenshot 83,Urban design 83
long 16.9908704154412 lat 46.4637142647059 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908704154412 lat 46.4637142647059 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908704154412 lat 46.4637142647059 viewpoint 270 degrees.jpeg,Cloud 96,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Lighting 87,Building 86
long 16.9908704154412 lat 46.4637142647059 viewpoint 90 degrees.jpeg,Cloud 93,Sky 92,Road surface 90,Infrastructure 90,Asphalt 89,Lighting 87,Tree 86,Land lot 84,Urban design 83,Screenshot 83
long 16.9908712653061 lat 46.4636813673469 viewpoint 0 degrees.jpeg,Property 94,Window 94,Building 93,Land lot 85,Screenshot 81,Facade 79,House 77,Font 77,Asphalt 68,Software 65
long 16.9908712653061 lat 46.4636813673469 viewpoint 180 degrees.jpeg,Plant 94,Property 94,Sky 93,Cloud 91,Nature 90,Tree 89,Land lot 85,Biome 84,Screenshot 83,Line 82
long 16.9908712653061 lat 46.4636813673469 viewpoint 270 degrees.jpeg,Cloud 97,Sky 94,Property 94,Photograph 94,Light 91,Infrastructure 89,Road surface 89,Asphalt 88,Building 87,Lighting 87
