long 16.98892575 lat 46.4573625 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.98892575 lat 46.4573625 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Asphalt 85,Urban design 85,Biome 84,Grass 83,Road surface 81,Car 81,Woody plant 80
long 16.98892575 lat 46.4573625 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 86,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 82,Woody plant 82,Software 80
long 16.98892575 lat 46.4573625 viewpoint 90 degrees.jpeg,Wheel 96,Cloud 92,Building 92,Tire 90,Vehicle 89,Window 89,Motor vehicle 85,Architecture 85,Urban design 85,Asphalt 85
long 16.9889376666667 lat 46.457433 viewpoint 0 degrees.jpeg,Cloud 97,Sky 94,Car 93,Building 92,Plant 92,Window 89,Asphalt 87,Road surface 87,Tree 87,Urban design 85
long 16.9889376666667 lat 46.457433 viewpoint 180 degrees.jpeg,Plant 97,Tree 90,Nature 90,Asphalt 86,Land lot 85,Road surface 84,Grass 84,Motor vehicle 84,Urban design 83,Biome 83
long 16.9889376666667 lat 46.457433 viewpoint 270 degrees.jpeg,Plant 96,Property 94,Nature 90,Tree 89,Building 86,Urban design 85,Grass 84,Biome 84,Line 82,Woody plant 81
long 16.9889376666667 lat 46.457433 viewpoint 90 degrees.jpeg,Cloud 95,Sky 88,Urban design 85,Building 84,Screenshot 82,Biome 82,Line 82,Window 80,Asphalt 80,Wheel 79
long 16.988944 lat 46.4574143333333 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.988944 lat 46.4574143333333 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Urban design 85,Asphalt 85,Biome 83,Grass 83,Road surface 82,Screenshot 79,Software 78
long 16.988944 lat 46.4574143333333 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 86,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 82,Woody plant 82,Software 80
long 16.988944 lat 46.4574143333333 viewpoint 90 degrees.jpeg,Wheel 96,Cloud 92,Building 92,Tire 90,Vehicle 89,Window 89,Motor vehicle 85,Architecture 85,Urban design 85,Asphalt 85
long 16.988946 lat 46.457332 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.988946 lat 46.457332 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Asphalt 85,Urban design 85,Biome 84,Grass 83,Road surface 81,Car 81,Woody plant 80
long 16.988946 lat 46.457332 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 86,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 82,Woody plant 82,Software 80
long 16.988946 lat 46.457332 viewpoint 90 degrees.jpeg,Wheel 96,Cloud 92,Building 92,Tire 90,Vehicle 89,Window 89,Motor vehicle 85,Architecture 85,Urban design 85,Asphalt 85
long 16.988978 lat 46.4573625 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.988978 lat 46.4573625 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Asphalt 85,Urban design 85,Biome 84,Grass 83,Road surface 81,Car 81,Woody plant 80
long 16.988978 lat 46.4573625 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 87,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 83,Woody plant 82,Road surface 81
long 16.988978 lat 46.4573625 viewpoint 90 degrees.jpeg,Wheel 95,Building 92,Cloud 92,Tire 90,Window 89,Vehicle 88,Architecture 85,Urban design 85,Asphalt 85,Motor vehicle 85
long 16.9889913333333 lat 46.4573808333333 viewpoint 0 degrees.jpeg,Building 94,Cloud 93,Window 91,Urban design 86,Sky 85,Car 84,Vehicle 84,Asphalt 84,Screenshot 82,Road surface 81
long 16.9889913333333 lat 46.4573808333333 viewpoint 180 degrees.jpeg,Plant 95,Tree 89,Land lot 86,Asphalt 85,Urban design 85,Biome 84,Grass 83,Road surface 81,Car 81,Woody plant 80
long 16.9889913333333 lat 46.4573808333333 viewpoint 270 degrees.jpeg,Plant 97,Tree 90,Asphalt 86,Urban design 85,Mode of transport 85,Land lot 85,Screenshot 83,Biome 82,Woody plant 82,Software 80
long 16.9889913333333 lat 46.4573808333333 viewpoint 90 degrees.jpeg,Wheel 95,Building 92,Cloud 92,Tire 90,Window 89,Vehicle 88,Architecture 85,Urban design 85,Asphalt 85,Motor vehicle 85
long 16.9890598333333 lat 46.457419 viewpoint 0 degrees.jpeg,Window 94,Building 93,Sky 91,Cloud 90,Infrastructure 90,Asphalt 89,Road surface 87,Lighting 86,Motor vehicle 86,Street light 85
long 16.9890598333333 lat 46.457419 viewpoint 180 degrees.jpeg,Sky 96,Cloud 90,Window 89,Architecture 86,Asphalt 85,Building 85,Automotive lighting 85,Yellow 84,Car 84,Screenshot 81
long 16.9890598333333 lat 46.457419 viewpoint 270 degrees.jpeg,Building 94,Window 93,Vehicle 92,Motor vehicle 90,Automotive lighting 85,Automotive exterior 83,Door 79,Car 79,Facade 78,Parking 77
long 16.9890598333333 lat 46.457419 viewpoint 90 degrees.jpeg,Property 94,Building 89,Fixture 88,Window 88,Font 80,Screenshot 79,Facade 79,Door 78,Home door 75,Room 66
long 16.9890643333333 lat 46.4574443333333 viewpoint 0 degrees.jpeg,Window 94,Building 93,Sky 91,Infrastructure 90,Cloud 89,Asphalt 89,Road surface 87,Automotive lighting 87,Motor vehicle 86,Street light 86
long 16.9890643333333 lat 46.4574443333333 viewpoint 180 degrees.jpeg,Sky 96,Cloud 90,Window 90,Architecture 86,Asphalt 85,Building 84,Yellow 84,Automotive lighting 83,Car 81,Screenshot 81
