long 16.9873271 lat 46.45519 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873271 lat 46.45519 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.98734775 lat 46.45517690625 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.98734775 lat 46.45517690625 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.98734775 lat 46.45517690625 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.98734775 lat 46.45517690625 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9873478315789 lat 46.4551799052632 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9873478315789 lat 46.4551799052632 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 89,Window 86
long 16.9873478315789 lat 46.4551799052632 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 88,Asphalt 87,Lighting 87,Road surface 86,Architecture 86,Urban design 85
long 16.9873478315789 lat 46.4551799052632 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9873636363636 lat 46.4551727045455 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 89,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 79,City 78,Metropolitan area 77,Condominium 77
long 16.9873636363636 lat 46.4551727045455 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9873636363636 lat 46.4551727045455 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873636363636 lat 46.4551727045455 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9873650909091 lat 46.4551577840909 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.9873650909091 lat 46.4551577840909 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9873650909091 lat 46.4551577840909 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873650909091 lat 46.4551577840909 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Asphalt 89,Window 89,Motor vehicle 87,Road surface 86,Wheel 86
long 16.9873658 lat 46.4551028 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.9873658 lat 46.4551028 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9873658 lat 46.4551028 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
long 16.9873658 lat 46.4551028 viewpoint 90 degrees.jpeg,Cloud 96,Car 94,Vehicle 92,Sky 92,Infrastructure 90,Window 89,Asphalt 89,Wheel 88,Motor vehicle 87,Road surface 86
long 16.9873692894737 lat 46.4551715315789 viewpoint 0 degrees.jpeg,Building 94,Plant 92,Urban design 86,Window 85,Tree 84,Public space 81,Woody plant 80,Condominium 78,Street light 77,City 76
long 16.9873692894737 lat 46.4551715315789 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Land vehicle 96,Building 96,Tire 95,Wheel 94,Vehicle 94,Cloud 90,Infrastructure 89,Vehicle registration plate 87
long 16.9873692894737 lat 46.4551715315789 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Window 90,Infrastructure 90,Sky 88,Asphalt 87,Vehicle 87,Road surface 86,Lighting 86,Architecture 86
long 16.9873692894737 lat 46.4551715315789 viewpoint 90 degrees.jpeg,Cloud 95,Car 94,Sky 93,Vehicle 92,Infrastructure 90,Window 89,Asphalt 89,Road surface 88,Tire 87,Wheel 87
long 16.9873724066986 lat 46.4551536889952 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9873724066986 lat 46.4551536889952 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 89,Window 86
long 16.9873724066986 lat 46.4551536889952 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 88,Asphalt 87,Lighting 87,Road surface 86,Architecture 86,Urban design 85
long 16.9873724066986 lat 46.4551536889952 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Wheel 87,Road surface 87,Motor vehicle 86
long 16.9873779157895 lat 46.4553510526316 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Tree 86,Urban design 85,Window 82,Neighbourhood 81,City 78,Sidewalk 78,Metropolitan area 78,Road 77
long 16.9873779157895 lat 46.4553510526316 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 95,Wheel 94,Photograph 94,Vehicle 94,Cloud 91,Infrastructure 89,Window 86
long 16.9873779157895 lat 46.4553510526316 viewpoint 270 degrees.jpeg,Building 96,Cloud 96,Infrastructure 90,Sky 89,Window 88,Asphalt 87,Lighting 87,Road surface 86,Architecture 86,Urban design 85
long 16.9873779157895 lat 46.4553510526316 viewpoint 90 degrees.jpeg,Cloud 96,Car 93,Sky 93,Vehicle 92,Infrastructure 90,Asphalt 89,Window 88,Road surface 87,Motor vehicle 86,Wheel 85
long 16.98738136 lat 46.4553692 viewpoint 0 degrees.jpeg,Building 94,Urban design 81,Screenshot 80,Window 78,Font 76,Asphalt 71,Facade 70,Signage 68,Multimedia 66,Video game software 66
long 16.98738136 lat 46.4553692 viewpoint 180 degrees.jpeg,Cloud 96,Sky 95,Building 91,Infrastructure 89,Asphalt 86,Urban design 84,Screenshot 82,Line 82,Public space 82,Font 81
long 16.98738136 lat 46.4553692 viewpoint 270 degrees.jpeg,Building 93,Car 90,Cloud 90,Infrastructure 90,Asphalt 88,Road surface 88,Mode of transport 86,Vehicle 84,Urban design 84,Motor vehicle 83
long 16.98738136 lat 46.4553692 viewpoint 90 degrees.jpeg,Cloud 97,Sky 95,Window 90,Infrastructure 89,Building 89,Asphalt 89,Road surface 88,Mode of transport 85,Thoroughfare 84,Screenshot 82
long 16.9873843 lat 46.45515125 viewpoint 0 degrees.jpeg,Building 93,Plant 89,Window 88,Urban design 85,Tree 85,Neighbourhood 81,Sidewalk 78,City 78,Road 77,Metropolitan area 77
long 16.9873843 lat 46.45515125 viewpoint 180 degrees.jpeg,Automotive parking light 98,Car 96,Building 95,Tire 94,Vehicle 94,Wheel 94,Cloud 90,Infrastructure 89,Vehicle registration plate 88,Sky 88
long 16.9873843 lat 46.45515125 viewpoint 270 degrees.jpeg,Building 96,Cloud 95,Infrastructure 90,Sky 89,Window 89,Lighting 87,Asphalt 86,Road surface 86,Architecture 85,Urban design 85
