long 17.0059795 lat 46.4549818333333 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0059795 lat 46.4549818333333 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0059795 lat 46.4549818333333 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0059795 lat 46.4549818333333 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.00598 lat 46.4550786 viewpoint 0 degrees.jpeg,Light 91,Road surface 91,Infrastructure 90,Asphalt 89,Tree 89,Thoroughfare 87,Mode of transport 87,Line 82,Urban design 82,Road 81
long 17.00598 lat 46.4550786 viewpoint 180 degrees.jpeg,Photograph 94,Light 91,Tree 90,Infrastructure 89,Window 89,Road surface 88,Asphalt 88,Mode of transport 87,Urban design 85,Thoroughfare 84
long 17.00598 lat 46.4550786 viewpoint 270 degrees.jpeg,Plant 95,Building 92,Tree 90,World 90,Window 85,House 84,Biome 84,Screenshot 83,Adaptation 79,Grass 79
long 17.00598 lat 46.4550786 viewpoint 90 degrees.jpeg,Sky 90,Tree 88,Plant 84,Font 78,Cloud 77,Screenshot 76,Urban design 73,Asphalt 73,Multimedia 63,Signage 62
long 17.005984125 lat 46.4550605833333 viewpoint 0 degrees.jpeg,Plant 91,Light 91,Infrastructure 90,Building 90,Road surface 90,Sky 89,Tree 89,Asphalt 89,Mode of transport 86,Thoroughfare 86
long 17.005984125 lat 46.4550605833333 viewpoint 180 degrees.jpeg,Photograph 94,Tree 89,Asphalt 88,Road surface 88,Mode of transport 87,Building 87,Plant 85,Urban design 84,Motor vehicle 84,Thoroughfare 83
long 17.005984125 lat 46.4550605833333 viewpoint 270 degrees.jpeg,Property 94,Building 94,Plant 92,Window 89,Architecture 86,House 84,Biome 83,Screenshot 82,Tree 81,Facade 79
long 17.005984125 lat 46.4550605833333 viewpoint 90 degrees.jpeg,Tree 89,Sky 83,Plant 83,Font 80,Screenshot 80,Woody plant 80,Asphalt 78,Urban design 77,Multimedia 72,Software 71
long 17.0059858125 lat 46.45488275 viewpoint 0 degrees.jpeg,Sky 93,Road surface 90,Building 90,Infrastructure 90,Asphalt 89,Tree 87,Thoroughfare 86,Mode of transport 85,Urban design 83,Line 82
long 17.0059858125 lat 46.45488275 viewpoint 180 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Road surface 89,Tree 89,Asphalt 87,Biome 84,Urban design 83,Thoroughfare 82,Line 82
long 17.0059858125 lat 46.45488275 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,World 89,Tree 89,Biome 84,Screenshot 83,Software 82,Font 81,Adaptation 79
long 17.0059858125 lat 46.45488275 viewpoint 90 degrees.jpeg,Tree 88,Sky 86,Window 84,Biome 82,Font 82,Line 82,Screenshot 80,Asphalt 79,Urban design 77,Automotive mirror 77
long 17.00598725 lat 46.45490945 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.00598725 lat 46.45490945 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.00598725 lat 46.45490945 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.00598725 lat 46.45490945 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.0059955 lat 46.454808 viewpoint 0 degrees.jpeg,Sky 93,Road surface 90,Building 90,Infrastructure 90,Asphalt 89,Tree 87,Thoroughfare 86,Mode of transport 85,Urban design 83,Line 82
long 17.0059955 lat 46.454808 viewpoint 180 degrees.jpeg,Photograph 94,Plant 93,Infrastructure 90,Road surface 89,Tree 89,Asphalt 87,Biome 84,Urban design 83,Thoroughfare 82,Line 82
long 17.0059955 lat 46.454808 viewpoint 270 degrees.jpeg,Photograph 94,Plant 94,Nature 90,World 89,Tree 89,Biome 84,Screenshot 83,Software 82,Font 81,Adaptation 79
long 17.0059955 lat 46.454808 viewpoint 90 degrees.jpeg,Tree 88,Sky 86,Window 84,Biome 82,Font 82,Line 82,Screenshot 80,Asphalt 79,Urban design 77,Automotive mirror 77
long 17.0059965833333 lat 46.45490525 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0059965833333 lat 46.45490525 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
long 17.0059965833333 lat 46.45490525 viewpoint 270 degrees.jpeg,Window 94,Tree 89,Building 87,Plant 84,Biome 84,House 83,Screenshot 81,Font 80,Woody plant 80,Residential area 79
long 17.0059965833333 lat 46.45490525 viewpoint 90 degrees.jpeg,Tree 89,Plant 82,Asphalt 81,Screenshot 80,Technology 75,Font 75,Building 73,Urban design 73,Event 69,Software 69
long 17.0059986 lat 46.45490488 viewpoint 0 degrees.jpeg,Automotive parking light 98,Plant 94,Automotive tail & brake light 92,Tire 92,Vehicle 91,Sky 91,Automotive lighting 91,Car 90,Infrastructure 90,Wheel 89
long 17.0059986 lat 46.45490488 viewpoint 180 degrees.jpeg,Photograph 94,Tree 91,Asphalt 87,Road surface 87,Building 86,Sky 85,Mode of transport 84,Biome 83,Line 82,Urban design 82
